transferor_loan_number,fnma_loan_number,min,mers_eligible,remittance_type,upb,scheduled_upb,next_due_date,note_rate_pct,pi_payment,escrow_payment,maturity_date,original_term_months,original_upb,instrument_date,origination_date,first_payment_date,interest_method,amortization,arm_index,arm_margin_bps,arm_initial_cap_bps,arm_periodic_cap_bps,arm_lifetime_cap_bps,arm_lookback_days,arm_next_change_date,escrowed,escrow_balance,late_charge_pct,late_charge_grace_days,deferred_principal,forborne_principal,nib_separated,bk_active,fc_active,lm_in_process,scra_active,scra_rate_cap_reason,borrower_name,borrower_tin,borrower_phone,borrower_email,borrower_language,coborrower_name,property_address1,property_city,property_state,property_zip,occupancy,custodian,custody_certification_status,enote_evault_ref,tax_parcel_verified,hazard_policy_expires,mi_flag,mi_certificate_number,flood_determination_life_of_loan,sii_present,sii_complete,unapplied_funds,fair_lending_present,acp_enrolled,fees_advances,fees_itemized,corporate_advances,late_charges_due,mers_investor_is_fnma,last_principal_applied
TR-0000050,4100000350,100045600000000507,Y,A/A,178628.99,,2026-09-01,3.125,1326.75,616.92,2040-06-01,240,236550.00,2020-05-12,2020-05-12,2020-07-01,30_360,fixed,,,,,,,,Y,3151.99,5,15,0.00,0.00,Y,N,N,N,N,,Marcus Patel,000-75-1177,+17925552492,marcus.patel50@example.test,en,,6172 Elm Dr,Houston,TX,77002,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-09,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,861.57
TR-0000051,4100000357,100045600000000515,Y,A/A,476238.37,,2026-09-01,2.875,3397.64,824.33,2040-11-01,240,619600.00,2020-10-09,2020-10-09,2020-12-01,30_360,fixed,,,,,,,,Y,-1648.66,5,15,0.00,0.00,Y,N,N,N,N,,Patricia Flores,000-12-7791,+17025559676,,en,Patricia Flores,3487 Elm Dr,Phoenix,AZ,85004,owner_occupied,Bank Custodian NA,certified,,Y,2027-07-02,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000052,4100000364,100045600000000523,Y,S/A,558424.06,,2026-09-01,3.750,3188.55,770.92,2047-10-01,360,688500.00,2017-09-22,2017-09-22,2017-11-01,30_360,fixed,,,,,,,,Y,858.80,5,15,0.00,0.00,Y,N,N,N,N,,Sofia Thomas,000-62-1283,+17155552043,sofia.thomas52@example.test,en,,549 Ridge Ct,Riverside,CA,92501,owner_occupied,Bank Custodian NA,certified,,Y,2027-01-01,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000053,4100000371,100045600000000531,Y,S/A,268217.19,,2026-08-01,7.000,1833.57,447.25,2054-01-01,360,275600.00,2023-12-16,2023-12-16,2024-02-01,30_360,fixed,,,,,,,,Y,2290.29,5,15,0.00,0.00,Y,N,N,N,N,,Priya Torres,000-38-8927,+16185555385,,en,,762 Elm Dr,Orlando,FL,32801,second_home,Bank Custodian NA,pending,,Y,2027-05-06,N,,Y,N,Y,0.00,Y,N,281.84,Y,0.00,91.67,Y,
TR-0000054,4100000378,100045600000000549,Y,S/A,158324.98,,2026-09-01,4.750,1003.39,367.92,2047-04-01,360,192350.00,2017-03-20,2017-03-20,2017-05-01,30_360,fixed,,,,,,,,Y,93.87,5,15,0.00,0.00,Y,N,N,N,N,,David Miller,000-57-8248,+17185551783,david.miller54@example.test,en,Emily Miller,7740 Summit Ave,Sacramento,CA,95814,owner_occupied,Bank Custodian NA,certified,,Y,2027-06-14,Y,MI-546726,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000055,4100000385,100045600000000556,Y,S/A,635672.35,,2026-09-01,7.250,4425.28,1200.75,2054-08-01,360,648700.00,2024-07-22,2024-07-22,2024-09-01,30_360,arm,SOFR_30D_AVG,300,500,100,500,45,2027-09-01,Y,72.79,4,15,0.00,0.00,Y,N,N,N,N,,Grace Johnson,000-49-3198,+14695552792,grace.johnson55@example.test,en,,9224 Pine St,Charlotte,NC,28202,owner_occupied,Bank Custodian NA,certified,,Y,2027-08-25,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,584.76
TR-0000056,4100000392,100045600000000564,Y,S/A,184810.25,,2026-09-01,4.875,1212.95,869.67,2046-06-01,360,229200.00,2016-05-26,2016-05-26,2016-07-01,30_360,fixed,,,,,,,,Y,3565.83,5,15,0.00,0.00,Y,N,N,N,N,,Emily Okafor,000-49-9756,+15155554934,emily.okafor56@example.test,en,,6547 Cedar Ln,Houston,TX,77002,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-23,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000057,4100000399,100045600000000572,Y,S/S,589963.50,589963.50,2026-09-01,6.875,3968.84,2079.17,2054-06-01,360,604150.00,2024-05-12,2024-05-12,2024-07-01,30_360,fixed,,,,,,,,Y,6273.26,4,15,0.00,0.00,Y,N,N,N,N,,Nguyen Kim,000-96-3148,+19625555003,,en,Thomas Kim,8791 Oak St,Dallas,TX,75201,owner_occupied,Bank Custodian NA,pending,,Y,2026-12-15,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000058,4100000406,100045600000000580,Y,S/S,140341.39,140341.39,2026-09-01,4.375,1750.52,696.92,2034-07-01,180,230750.00,2019-06-07,2019-06-07,2019-08-01,30_360,fixed,,,,,,,,Y,2834.38,4,15,0.00,0.00,Y,N,N,N,N,,Emily Nguyen,000-64-3478,+14015552293,emily.nguyen58@example.test,en,,9732 Cedar Ln,Austin,TX,78701,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-30,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000059,4100000413,100045600000000598,Y,S/S,391254.80,391254.80,2026-09-01,4.750,2328.11,0.00,2049-09-01,360,446300.00,2019-08-26,2019-08-26,2019-10-01,30_360,arm,SOFR_30D_AVG,300,200,100,500,45,2029-02-01,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Linda Ali,000-35-2167,+12075558194,linda.ali59@example.test,en,Grace Ali,8074 Cedar Ln,Columbus,OH,43215,owner_occupied,Bank Custodian NA,certified,,Y,2027-03-12,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000060,4100000420,100045600000000606,Y,A/A,560488.70,,2026-09-01,4.625,3075.84,675.92,2052-11-01,360,598250.00,2022-10-26,2022-10-26,2022-12-01,30_360,fixed,,,,,,,,Y,3466.99,5,15,0.00,0.00,Y,N,N,N,N,,David Johnson,000-74-5291,+16355554623,david.johnson60@example.test,en,,5482 Meadow Ln,Rochester,NY,14604,owner_occupied,Bank Custodian NA,certified,,Y,2027-03-10,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,915.62
TR-0000061,4100000427,100045600000000614,Y,A/A,287148.08,,2026-09-01,6.875,1924.14,892.08,2054-10-01,360,292900.00,2024-09-13,2024-09-13,2024-11-01,30_360,fixed,,,,,,,,Y,1876.41,5,15,0.00,0.00,Y,N,N,N,N,,Ahmed Rodriguez,000-37-1967,+17905551835,ahmed.rodriguez61@example.test,en,,7089 Maple Ave,Newark,NJ,07102,owner_occupied,Bank Custodian NA,certified,,Y,2027-05-24,N,,Y,N,Y,2831.22,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000062,4100000434,100045600000000622,Y,A/A,256277.44,,2026-08-01,6.000,1581.91,0.00,2054-04-01,360,263850.00,2024-03-10,2024-03-10,2024-05-01,30_360,fixed,,,,,,,,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Chloe Anderson,000-98-1924,+18015554323,chloe.anderson62@example.test,es,,5829 Elm Dr,Austin,TX,78701,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-24,N,,Y,N,Y,0.00,Y,N,52.91,Y,0.00,79.09,Y,
TR-0000063,4100000441,100045600000000630,Y,A/A,456658.20,,2026-09-01,3.375,2270.16,835.33,2051-05-01,360,513500.00,2021-04-22,2021-04-22,2021-06-01,30_360,fixed,,,,,,,,Y,2546.12,5,15,0.00,0.00,Y,N,N,N,N,,Emily Patel,000-78-8167,+17905554534,emily.patel63@example.test,en,,7036 Ridge Ct,Columbus,OH,43215,owner_occupied,Bank Custodian NA,certified,,Y,2027-03-06,Y,MI-791905,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000064,4100000448,100045600000000648,Y,A/A,499721.00,,2026-07-01,4.875,2974.41,910.08,2050-01-01,360,562050.00,2019-12-10,2019-12-10,2020-02-01,30_360,fixed,,,,,,,,Y,2809.66,5,15,0.00,0.00,Y,N,N,N,N,,Thomas Kim,000-39-1728,+19345554550,thomas.kim64@example.test,en,,5299 Ridge Ct,Fresno,CA,93721,owner_occupied,Bank Custodian NA,certified,,Y,2027-01-08,N,,Y,N,Y,0.00,Y,N,518.86,Y,0.00,297.44,Y,
TR-0000065,4100000455,100045600000000655,Y,A/A,58511.33,,2026-09-01,4.250,595.39,457.08,2036-09-01,240,96150.00,2016-08-12,2016-08-12,2016-10-01,actual_365,fixed,,,,,,,,Y,487.49,5,15,0.00,0.00,Y,N,N,N,N,,Carlos Miller,000-19-5219,+13815552178,carlos.miller65@example.test,en,Rosa Miller,1823 Maple Ave,Dallas,TX,75201,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-02,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,388.16
TR-0000066,4100000462,100045600000000663,Y,A/A,269727.14,,2026-09-01,4.750,2642.73,636.58,2037-07-01,240,408950.00,2017-06-23,2017-06-23,2017-08-01,30_360,fixed,,,,,,,,Y,2006.54,5,15,0.00,0.00,Y,N,N,N,N,,Robert Garcia,000-21-5363,,,en,,6656 Pine St,Fresno,CA,93721,owner_occupied,Bank Custodian NA,certified,,Y,2027-06-04,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000067,4100000469,100045600000000671,Y,A/A,192618.88,,2026-09-01,5.875,1156.46,550.83,2055-06-01,360,195500.00,2025-05-18,2025-05-18,2025-07-01,30_360,arm,SOFR_30D_AVG,275,500,100,500,45,2027-05-01,Y,2241.79,5,15,0.00,0.00,Y,N,N,N,N,,Sofia Singh,000-72-3963,+17055558259,,en,,675 Birch Rd,Rochester,NY,14604,owner_occupied,Bank Custodian NA,certified,,Y,2027-07-01,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000068,4100000476,100045600000000689,Y,A/A,344933.41,,2026-09-01,6.875,2302.54,570.42,2055-02-01,360,350500.00,2025-01-05,2025-01-05,2025-03-01,actual_365,fixed,,,,,,,,Y,-570.42,5,15,0.00,0.00,Y,N,N,N,N,,Luis Thomas,000-16-6301,+18355556132,,,,873 Elm Dr,Cincinnati,OH,45202,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-09,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000069,4100000483,100045600000000697,Y,A/A,98022.97,,2026-09-01,5.750,607.79,323.50,2052-06-01,360,104150.00,2022-05-23,2022-05-23,2022-07-01,30_360,fixed,,,,,,,,Y,1297.53,5,15,0.00,0.00,Y,N,N,N,N,,Jennifer Jackson,000-64-2816,+17665552871,jennifer.jackson69@example.test,en,,7073 Maple Ave,Denver,CO,80202,investment,Bank Custodian NA,certified,,Y,2027-02-22,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000070,4100000490,100045600000000705,Y,A/A,215634.21,,2026-09-01,6.750,1699.41,903.67,2045-03-01,240,223500.00,2025-02-27,2025-02-27,2025-04-01,actual_365,fixed,,,,,,,,Y,979.94,5,15,0.00,0.00,Y,N,N,N,N,,Sofia Kim,000-81-3616,+14595555730,sofia.kim70@example.test,en,,1446 River Rd,Dallas,TX,75201,owner_occupied,Bank Custodian NA,certified,,Y,2027-08-07,N,,Y,N,Y,0.00,Y,Y,0.00,Y,0.00,0.00,Y,486.47
TR-0000071,4100000497,100045600000000713,Y,A/A,489213.34,,2026-08-01,4.000,2757.07,1760.25,2048-12-01,360,577500.00,2018-11-20,2018-11-20,2019-01-01,30_360,fixed,,,,,,,,Y,1.80,5,15,0.00,0.00,Y,N,N,N,N,,Hannah Lewis,000-89-1341,+18565557780,,en,,2080 Cedar Ln,Dallas,TX,75201,owner_occupied,Bank Custodian NA,certified,,Y,2027-07-13,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,137.85,Y,
TR-0000072,4100000504,100045600000000721,Y,S/A,80930.24,,2026-09-01,4.375,470.58,313.08,2049-03-01,360,94250.00,2019-02-12,2019-02-12,2019-04-01,actual_365,fixed,,,,,,,,Y,1316.57,5,15,0.00,0.00,Y,N,N,N,N,,Ahmed White,000-19-3994,+13175554980,ahmed.white72@example.test,en,Emily White,4057 Harbor Dr,Riverside,CA,92501,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-28,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000073,4100000511,100045600000000739,Y,S/A,548537.46,,2026-09-01,4.000,3112.99,974.58,2048-10-01,360,652050.00,2018-09-20,2018-09-20,2018-11-01,actual_365,fixed,,,,,,,,Y,1011.99,5,15,0.00,0.00,Y,N,N,N,N,,Luis Clark,000-97-8337,+16515556815,luis.clark73@example.test,en,Jennifer Clark,2399 Cedar Ln,Rochester,NY,14604,owner_occupied,Bank Custodian NA,certified,,Y,2027-03-08,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000074,4100000518,100045600000000747,Y,S/A,462052.16,,2026-09-01,5.125,2704.19,1025.67,2052-03-01,360,496650.00,2022-02-20,2022-02-20,2022-04-01,30_360,arm,SOFR_30D_AVG,275,200,100,500,45,2028-01-01,Y,1119.24,5,15,0.00,0.00,Y,N,N,N,N,,Luis Okafor,000-69-3514,+19845551512,luis.okafor74@example.test,es,,7731 Lakeview Rd,Denver,CO,80202,second_home,Bank Custodian NA,certified,,Y,2027-03-08,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000075,4100000525,100045600000000754,Y,S/A,487047.84,,2026-09-01,6.750,3205.05,904.08,2055-04-01,360,494150.00,2025-03-09,2025-03-09,2025-05-01,30_360,fixed,,,,,,,,Y,1879.45,5,15,0.00,0.00,Y,N,N,N,N,,Joseph Wilson,000-55-7996,+16305553803,joseph.wilson75@example.test,en,,8509 Meadow Ln,Phoenix,AZ,85004,owner_occupied,Bank Custodian NA,certified,,Y,2027-05-23,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,465.42
TR-0000076,4100000532,100045600000000762,Y,S/A,739046.61,,2026-09-01,3.875,4059.09,1752.75,2049-07-01,360,863200.00,2019-06-27,2019-06-27,2019-08-01,30_360,fixed,,,,,,,,Y,8801.03,4,15,0.00,0.00,Y,N,N,N,N,,Carlos Singh,000-98-7691,+19885553274,,en,,3348 Ridge Ct,San Antonio,TX,78205,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-24,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000077,4100000539,100045600000000770,Y,S/S,309103.96,309103.96,2026-09-01,7.500,2188.54,593.67,2055-04-01,360,313000.00,2025-03-24,2025-03-24,2025-05-01,30_360,fixed,,,,,,,,Y,1.10,4,15,0.00,0.00,Y,N,N,N,N,,Michael Torres,000-60-7596,+14295559699,michael.torres77@example.test,en,,7343 Lakeview Rd,Jacksonville,FL,32202,owner_occupied,Bank Custodian NA,certified,,Y,2026-09-15,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000078,4100000546,100045600000000788,Y,S/S,172941.71,172941.71,2026-09-01,6.500,1588.03,0.00,2040-05-01,180,182300.00,2025-04-25,2025-04-25,2025-06-01,30_360,fixed,,,,,,,,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Marcus Ali,000-81-8562,+14975555430,marcus.ali78@example.test,en,,6750 Harbor Dr,Sacramento,CA,95814,owner_occupied,Bank Custodian NA,certified,,Y,2027-01-19,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000079,4100000553,100045600000000796,Y,S/S,346679.27,346007.62,2026-08-01,5.000,2116.15,1389.58,2049-07-01,360,394200.00,2019-06-18,2019-06-18,2019-08-01,30_360,fixed,,,,,,,,Y,4234.50,5,15,0.00,0.00,Y,N,N,N,N,,Emily Anderson,000-95-3895,+15585558323,emily.anderson79@example.test,en,,7552 Oak St,Peoria,IL,61602,investment,Bank Custodian NA,certified,,Y,2027-06-17,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,105.80,Y,
TR-0000080,4100000560,100045600000000804,Y,A/A,510347.82,,2026-09-01,5.125,2982.16,882.25,2052-04-01,360,547700.00,2022-03-23,2022-03-23,2022-05-01,actual_365,fixed,,,,,,,,Y,4494.24,5,15,0.00,0.00,Y,N,N,N,N,,Michael Martinez,000-46-8149,+15245557667,michael.martinez80@example.test,en,,306 River Rd,Sacramento,CA,95814,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-12,N,,Y,N,Y,0.00,Y,N,315.00,N,0.00,0.00,Y,802.55
TR-0000081,4100000567,100045600000000812,Y,A/A,727561.92,,2026-09-01,4.375,4335.79,1358.42,2048-04-01,360,868400.00,2018-03-15,2018-03-15,2018-05-01,30_360,fixed,,,,,,,,Y,4168.84,5,15,0.00,0.00,Y,N,N,N,N,,James Chen,000-96-1608,+12595556136,,en,Linda Chen,1322 River Rd,Cincinnati,OH,45202,owner_occupied,Bank Custodian NA,certified,,Y,2027-01-21,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000082,4100000574,100045600000000820,Y,A/A,247479.55,,2026-09-01,7.000,2545.03,0.00,2038-08-01,180,283150.00,2023-07-22,2023-07-22,2023-09-01,30_360,arm,SOFR_30D_AVG,275,500,100,500,45,2029-12-01,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Robert Singh,000-97-2448,+15555552465,robert.singh82@example.test,en,,6405 Harbor Dr,Orlando,FL,32801,owner_occupied,Bank Custodian NA,certified,,Y,2027-01-02,N,,Y,N,Y,45.14,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000083,4100000581,100045600000000838,Y,A/A,605069.33,,2026-09-01,4.875,3772.99,1643.58,2048-04-01,360,712950.00,2018-03-20,2018-03-20,2018-05-01,30_360,fixed,,,,,,,,Y,1711.84,5,15,0.00,0.00,Y,N,N,N,N,,Linda Patel,000-89-1805,+15865555216,,en,,2335 Birch Rd,San Antonio,TX,78205,owner_occupied,Bank Custodian NA,certified,,Y,2027-06-26,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000084,4100000588,100045600000000846,Y,A/A,334164.25,,2026-09-01,3.750,2021.27,963.92,2046-01-01,360,436450.00,2015-12-18,2015-12-18,2016-02-01,actual_365,fixed,,,,,,,,Y,2013.81,5,15,0.00,0.00,Y,N,N,N,N,,James Ali,000-68-2380,+15825557870,james.ali84@example.test,en,Carlos Ali,5768 River Rd,Riverside,CA,92501,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-28,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000085,4100000595,100045600000000853,Y,A/A,551339.50,,2026-09-01,7.000,5175.45,893.08,2040-07-01,180,575800.00,2025-06-18,2025-06-18,2025-08-01,30_360,fixed,,,,,,,,Y,-893.08,4,15,0.00,0.00,Y,N,N,N,N,,Linda Okafor,000-95-8984,+16015556061,linda.okafor85@example.test,en,,6506 Prairie Dr,Spokane,WA,99201,owner_occupied,Bank Custodian NA,certified,,Y,2027-01-28,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,N,1959.30
TR-0000086,4100000602,100045600000000861,Y,A/A,291842.36,,2026-08-01,4.875,1646.63,0.00,2052-09-01,360,311150.00,2022-08-06,2022-08-06,2022-10-01,actual_365,fixed,,,,,,,,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Chloe Garcia,000-42-2204,+13275559871,chloe.garcia86@example.test,en,Rosa Garcia,3703 Willow Way,San Antonio,TX,78205,second_home,Bank Custodian NA,certified,,Y,2027-01-31,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,82.33,Y,
TR-0000087,4100000609,100045600000000879,Y,A/A,180091.40,,2026-09-01,4.625,1195.12,0.00,2045-06-01,360,232450.00,2015-05-16,2015-05-16,2015-07-01,30_360,arm,SOFR_30D_AVG,275,200,100,500,45,2027-06-01,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Thomas Nguyen,000-32-7027,+12145553528,thomas.nguyen87@example.test,en,Joseph Nguyen,4619 Sunset Blvd,Phoenix,AZ,85004,owner_occupied,Bank Custodian NA,certified,,Y,2027-02-10,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000088,4100000616,100045600000000887,Y,A/A,251943.29,,2026-07-01,2.750,1148.99,601.67,2051-11-01,360,281450.00,2021-10-11,2021-10-11,2021-12-01,30_360,fixed,,,,,,,,Y,26.95,4,15,0.00,0.00,Y,Y,N,N,N,,Olivia Anderson,000-74-5463,+12605552770,olivia.anderson88@example.test,en,Patricia Anderson,4859 Oak St,St. Paul,MN,55101,owner_occupied,Bank Custodian NA,certified,,Y,2027-06-10,N,,Y,N,Y,0.00,Y,N,0.00,Y,1224.40,114.88,Y,
TR-0000089,4100000623,100045600000000895,Y,A/A,462653.68,,2026-09-01,6.375,2972.43,683.92,2054-03-01,360,476450.00,2024-02-25,2024-02-25,2024-04-01,30_360,fixed,,,,,,,,Y,1427.68,4,15,0.00,0.00,Y,Y,N,N,N,,Kevin Patel,000-86-3358,+16805558169,kevin.patel89@example.test,en,Linda Patel,8824 Pine St,Charlotte,NC,28202,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-28,N,,Y,N,Y,0.00,Y,N,0.00,Y,1019.21,0.00,Y,
TR-0000090,4100000630,100045600000000903,Y,A/A,210266.97,,2026-08-01,6.500,1405.09,631.50,2052-03-01,360,222300.00,2022-02-16,2022-02-16,2022-04-01,30_360,fixed,,,,,,,,Y,722.36,5,15,0.00,0.00,Y,N,N,N,N,,Luis Rodriguez,000-80-1325,+17625551646,luis.rodriguez90@example.test,en,,1858 Pine St,Naperville,IL,60540,investment,Bank Custodian NA,certified,,Y,2027-07-30,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,70.25,Y,266.14
TR-0000091,4100000637,100045600000000911,Y,A/A,392998.54,,2026-04-01,7.375,3745.01,0.00,2040-04-01,180,407100.00,2025-03-15,2025-03-15,2025-05-01,30_360,fixed,,,,,,,,N,0.00,4,15,0.00,0.00,Y,N,Y,N,N,,Luis Smith,000-28-7978,+14775553587,luis.smith91@example.test,en,,4580 Meadow Ln,Riverside,CA,92501,investment,Bank Custodian NA,certified,,Y,2027-04-14,N,,Y,N,Y,0.00,Y,N,0.00,Y,2785.65,936.25,Y,
TR-0000092,4100000644,100045600000000929,Y,S/A,388652.84,,2026-05-01,6.375,2494.23,1161.00,2053-12-01,360,399800.00,2023-11-15,2023-11-15,2024-01-01,actual_365,fixed,,,,,,,,Y,50.60,5,15,0.00,0.00,Y,N,Y,N,N,,Grace Torres,000-51-2682,+18935555502,grace.torres92@example.test,en,Chloe Torres,3304 Pine St,San Antonio,TX,78205,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-23,N,,Y,N,Y,0.00,Y,N,0.00,Y,878.27,498.84,Y,
TR-0000093,4100000651,100045600000000937,Y,S/A,490293.67,,2026-07-01,5.000,3300.92,937.58,2045-10-01,360,614900.00,2015-09-21,2015-09-21,2015-11-01,30_360,fixed,,,,,,,,Y,1935.28,4,15,0.00,0.00,Y,N,N,N,N,,Michael Kim,000-39-5164,+16325551255,michael.kim93@example.test,en,,6134 Maple Ave,Tucson,AZ,85701,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-12,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,330.08,Y,
TR-0000094,4100000658,100045600000000945,Y,S/A,411734.55,,2026-09-01,6.625,2747.57,671.67,2053-03-01,360,429100.00,2023-02-26,2023-02-26,2023-04-01,30_360,fixed,,,,,,,,Y,2747.81,5,15,0.00,0.00,Y,N,N,N,N,,Linda Davis,000-15-3566,+18455559648,,en,,4982 Lakeview Rd,Raleigh,NC,27601,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-04,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000095,4100000665,100045600000000952,Y,S/A,550478.32,,2026-06-01,3.875,3087.11,1251.33,2048-07-01,360,656500.00,2018-06-16,2018-06-16,2018-08-01,actual_365,fixed,,,,,,,,Y,6314.90,5,15,0.00,0.00,Y,N,N,Y,N,,Robert Miller,000-91-6877,+13615552978,robert.miller95@example.test,en,,4151 Maple Ave,Cincinnati,OH,45202,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-12,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,463.05,Y,1309.52
TR-0000096,4100000672,100045600000000960,Y,S/A,404009.38,,2026-09-01,3.000,1903.12,725.50,2051-11-01,360,451400.00,2021-10-02,2021-10-02,2021-12-01,30_360,fixed,,,,,,,,Y,2215.36,5,15,0.00,0.00,Y,N,N,Y,N,,Carlos Okafor,000-60-9153,+15085555027,carlos.okafor96@example.test,en,,351 River Rd,Allentown,PA,18101,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-29,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000097,4100000679,100045600000000978,Y,S/S,477934.81,477934.81,2026-09-01,6.500,3189.73,1490.00,2052-05-01,360,504650.00,2022-04-10,2022-04-10,2022-06-01,30_360,fixed,,,,,,,,Y,7505.44,5,15,0.00,0.00,Y,N,N,N,Y,Active duty orders on file; 6% cap applied 2026-03-01,Ahmed Brown,000-52-7272,+13635551597,ahmed.brown97@example.test,en,,9792 Sunset Blvd,Dallas,TX,75201,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-20,N,,Y,N,Y,0.00,N,N,566.75,Y,0.00,0.00,Y,
TR-0000098,4100000686,100045600000000986,Y,S/S,220260.80,220260.80,2026-09-01,4.500,1463.56,478.33,2045-02-01,360,288850.00,2015-01-05,2015-01-05,2015-03-01,30_360,fixed,,,,,,,,Y,2490.43,5,15,0.00,0.00,Y,N,N,N,N,,Chloe Brown,000-83-2701,+12755557504,chloe.brown98@example.test,en,,2616 Prairie Dr,Riverside,CA,92501,owner_occupied,,,EV-000098,Y,2027-04-14,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000099,4100000693,100045600000000994,Y,S/S,516663.99,516663.99,2026-09-01,6.125,3305.40,816.58,2052-10-01,360,544000.00,2022-09-15,2022-09-15,2022-11-01,30_360,fixed,,,,,,,,Y,4170.60,5,15,0.00,0.00,Y,N,N,N,N,,Nguyen Patel,000-28-9882,+18035553968,nguyen.patel99@example.test,en,Rosa Patel,5248 Cedar Ln,Atlanta,GA,30303,owner_occupied,,,EV-000099,Y,2027-01-21,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000100,4100000700,100045600000001000,Y,A/A,252222.07,,2026-08-01,3.250,1256.66,0.00,2050-09-01,360,288750.00,2020-08-15,2020-08-15,2020-10-01,30_360,fixed,,,,,,,,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Chloe Martinez,000-88-4920,+12755558945,chloe.martinez100@example.test,en,,8062 Elm Dr,Rochester,NY,14604,owner_occupied,Bank Custodian NA,certified,,Y,2027-06-26,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,62.83,Y,573.56
